Sección,Plato,Descripción,Precio,Etiqueta
Entrantes,Jamón ibérico de bellota 100% · 100 g,Juan Manuel,"24,50 €",
Entrantes,Tabla de quesos,"Romero, Idiazábal, Moluengo y Tête de Moine",16 €,
Entrantes,Pulpo a la brasa con parmentier,,19 €,
Entrantes,Sepia a la plancha,Fresca,14 €,
Entrantes,Calamar a la plancha con ajetes,,13 €,
Entrantes,Tellinas al pilpil,,16 €,
Entrantes,Bacalao ajoarriero,,14 €,
Entrantes,Flor de alcachofa,Sobre parmentier trufada y crujiente de jamón ibérico de bellota 100%,"6,50 € / ud",
Entrantes,Zamburiñas,,3 € / ud,
Entrantes,Gambones al ajillo,,"13,50 €",
Entrantes,Croqueta de cecina,,"3,20 € / ud",
Entrantes,Croqueta de jamón 100% bellota,Con velo de papada y palomitas de torrezno,"3,80 € / ud",
Entrantes,Torrezno de Soria,,14 €,
Guisos caseros,Gazpacho manchego,"La receta de siempre, a fuego lento","15,50 €",
Guisos caseros,Gazpacho marinero,Con producto del mar,"18,50 €",
Arroces y fideuá,Consúltanos las variedades del día,"Elaborados al momento y por encargo: meloso de marisco, a banda, de bogavante, de pollo y conejo, y fideuá marinera.",,
Carnes,Chuletas de cordero lechal manchego,Fresco,21 €,
Carnes,Paletilla de cordero lechal,,36 €,
Carnes,Codillo alemán,,18 €,
Carnes,Carrillada ibérica con parmentier,,18 €,
Carnes,Entrecot,,24 €,Selección premium
Carnes,Solomillo de ternera,,25 €,Selección premium
Carnes,Chuletón Simmental vacuno,,64 € / kg,
Pescados,Bacalao gratinado,,14 €,
Pescados,Dorada a la espalda,,14 €,
Pescados,Rodaballo al pilpil,,21 €,
Postres,Sorbete,"Limón, piña, mango o coco",5 €,
Postres,Cóctel de frutas con helado,"Frutas frescas de temporada en un cóctel vibrante, con cremoso helado de mango",6 €,
Postres,Cookie volcano,"Galleta templada de doble chocolate belga, helado de cookies and cream, sirope crujiente de chocolate y caramelo salado",7 €,
Postres,Tarta de queso al horno,"Nuestra versión artesanal, con helado de vainilla","6,50 €",
Postres,Tiramisú,"Clásico, con mascarpone italiano, suave y cremoso","6,50 €",
